Company,Detail,Website
Birdytell,Gift delivery platform for locally-curated products,https://www.birdytell.com
Black Pearl Network,Corporate email campaign and analytics platform,https://www.blackpearlmail.com/
,None,https://gregslist.com/phoenix/partner/user10/
Blackboard (Transact),Leading education technology platform for higher education,https://www.blackboard.com/
Blocks Edit,Email CMS for branded email marketing,https://blocksedit.com/
Blue Yonder (formerly JDA),Supply chain logistics and retail planning software,https://jda.com/
BoldLeads,Real estate lead generation platform,https://boldleads.com/
Bomgar (Beyondtrust,"Security, privileged access and vulnerability management software",https://www.beyondtrust.com
Booker,Appointment scheduling and payments for small businesses,http://www.booker.com/
Boomtown,Platform that allows SMEs to connect to local IT specialists,http://www.goboomtown.com/
Botco.ai,Conversational marketing platform,http://botco.ai/
Bravo Pay,Mobile app for cashless tipping and payments,http://www.bravopay.io
,None,https://gregslist.com/phoenix/partner/startup-az-collective/
Breault Research Organization (BRO),Optical engineering prototyping software,http://www.breault.com/
Breezing Co.,Mobile metabolism tracking software for disease prevention,http://breezing.com/
Brightcove,Cloud video platform and services,https://www.brightcove.com/en/
BrightGuest,Mobile messaging and marketing automation platform,http://brightguest.com/
Brightside,Employer-recommended financial solutions platform,https://www.gobrightside.com
BrowsePlay,Video management platform for business,http://www.browseplay.com/beta/
Burbz,Marketplace of property managers for real estate investors,https://www.theburbz.com/
BusyKid,Online chore and payment management for families,https://busykid.com/
CADTEL system,Service fulfillment solutions for communications providers,http://www.cadtel.com
,None,https://gregslist.com/phoenix/partner/benifit/
Callingly,Call management software for salespeople using CRM,https://callingly.com/
